名前,入力ノード数,収束ステップ数,x/j,ξ,流出の相対確率（エッジの2乗）の和,ターゲット位置への流出の相対確率（エッジの2乗）,規格化したターゲット位置への流出の相対確率（エッジの2乗）
正三角形,5,100000003.0,0.2,14.0,5.0000000000805995,3.122950885280669e-14,6.245901770561339e-15
正三角形,5,100000003.0,0.2,15.0,5.000000000005751,5.1638818344637937e-14,1.0327763668927587e-14
正三角形,5,100000003.0,0.2,16.0,4.999999999915601,8.95793002364131e-14,1.791586004728262e-14
正三角形,5,100000003.0,0.2,17.0,4.999999999957103,1.6549211315769698e-13,3.3098422631539396e-14
正三角形,5,100000003.0,0.2,18.0,5.000000000073492,3.3274573884354724e-13,6.654914776870945e-14
正三角形,5,100000003.0,0.2,19.0,5.000000000079015,7.56095333228571e-13,1.512190666457142e-13
正三角形,5,100000003.0,0.2,20.0,4.999999999952897,2.089207836553495e-12,4.1784156731069903e-13
正三角形,5,100000003.0,0.2,21.0,4.999999999891586,8.390505629263809e-12,1.6781011258527618e-12
正三角形,5,100000003.0,0.2,22.0,5.000000000007726,1.0576687046077473e-10,2.1153374092154947e-11
正三角形,5,100000003.0,0.2,23.0,5.000000000125375,2.3832349968512423e-10,4.7664699937024846e-11
正三角形,5,100000003.0,0.2,24.0,5.000000000050209,4.266102830735814e-11,8.532205661471629e-12
正三角形,5,100000003.0,0.2,25.0,4.999999999876219,3.0896919180390575e-11,6.179383836078115e-12
正三角形,5,100000003.0,0.2,26.0,4.999999999887271,4.045250131161381e-11,8.090500262322762e-12
正三角形,5,100000003.0,0.2,27.0,5.000000000098032,1.062625456963509e-10,2.1252509139270182e-11
正三角形,5,100000003.0,0.2,28.0,5.000000000179697,8.122991778715015e-09,1.624598355743003e-09
正三角形,5,100000003.0,0.2,29.0,4.999999999959325,1.26747862980504e-10,2.5349572596100797e-11
正三角形,5,100000003.0,0.2,30.0,4.999999999752517,2.7325978323053762e-11,5.4651956646107526e-12
正三角形,5,100000003.0,0.2,31.0,4.999999999940094,1.2295597102645674e-11,2.459119420529135e-12
正三角形,5,100000003.0,0.2,32.0,5.000000000310663,7.722393032963778e-12,1.5444786065927556e-12
正三角形,5,100000003.0,0.2,33.0,5.000000000236254,6.087815812149148e-12,1.2175631624298295e-12
正三角形,5,100000003.0,0.2,34.0,4.99999999963042,5.890330196325353e-12,1.1780660392650705e-12
正三角形,5,100000003.0,0.2,35.0,4.999999999375712,7.246255448246093e-12,1.4492510896492185e-12
正三角形,5,100000003.0,0.2,36.0,5.00000000044775,1.308283809270234e-11,2.616567618540468e-12
正三角形,5,100000003.0,0.2,37.0,5.000000003268265,6.844557607991091e-11,1.3689115215982181e-11
正三角形,5,100000003.0,0.2,38.0,4.99999999995163,9.917793481419442e-11,1.9835586962838883e-11
正三角形,5,100000003.0,0.2,39.0,5.000000001358029,6.555701161189909e-12,1.3111402322379818e-12
正三角形,5,100000003.0,0.2,40.0,5.000000000313371,1.7688902817551573e-12,3.5377805635103147e-13
正三角形,5,100000003.0,0.2,41.0,4.999999999513455,6.857904457179205e-13,1.371580891435841e-13
正三角形,5,100000003.0,0.2,42.0,4.999999999683282,3.6559750897077213e-13,7.311950179415443e-14
正三角形,5,100000003.0,0.2,43.0,5.000000000214673,2.040805741710866e-13,4.081611483421732e-14
正三角形,5,100000003.0,0.2,44.0,5.000000000289363,1.2598173599988014e-13,2.519634719997603e-14
正三角形,5,100000003.0,0.2,45.0,4.9999999999334195,8.33257084440167e-14,1.6665141688803338e-14
正三角形,5,100000003.0,0.2,46.0,4.999999999753739,5.829714493464761e-14,1.1659428986929523e-14
